Reference,Qty,DNP,LCSC Part
BUZZER1,1,,C409830
C1C2C4C6C9C12C18C19C20C24C25,11,,C49678
C3,1,,C513774
C5C16C17C21C22C23,6,,C18185764
C7,1,,C107146
C8,1,,C2918070
C10,1,,C576897
C11,1,,C113821
C13C14C15,3,,C87996
D1,1,,C2927280
D2,1,,C42387343
F1F2F3F4,4,,C2760284
J1J2J3,3,,C131337
J4,1,,C3018698
J5J7J8J9J10J11J12J13J14J15J16,11,,C131334
J6,1,,C131339
J17J32,2,,C7499355
J18J19J20J21J22J27J28J29J30J31,10,,C111514
J23,1,,C265393
J24J25J26,3,,C495693
L1,1,,C7587741
MK1MK2MK3MK4MK5TB1,6,,
Q1,1,,C2987717
Q2Q3Q4Q5,4,,C181119
R1,1,,C149504
R2,1,,C17560
R3,1,,C2989281
R4,1,,C728645
R5R6,2,,C728653
R7,1,,C865809
R8,1,,C103948
R9,1,,C2692772
R10R11R12R13,4,,C17557
R14,1,,C17414
RN1,1,,C20197
U1,1,,C24112
U2,1,,C2070920
U3U4U5U6,4,,C965817
U7,1,,C2678753
